datetime,temperature,humidity
2025-05-02 00:00:00,18.1,64.8
2025-05-02 01:00:00,17.5,67.1
2025-05-02 02:00:00,16.9,69.3
2025-05-02 03:00:00,16.4,70.6
2025-05-02 04:00:00,16.2,71.9
2025-05-02 05:00:00,15.9,72.9
2025-05-02 06:00:00,16.3,72.2
2025-05-02 07:00:00,17.2,70.1
2025-05-02 08:00:00,20.0,63.5
2025-05-02 09:00:00,22.2,58.4
2025-05-02 10:00:00,24.4,53.5
2025-05-02 11:00:00,26.0,49.7
2025-05-02 12:00:00,26.8,47.8
2025-05-02 13:00:00,27.4,46.5
2025-05-02 14:00:00,27.8,45.7
2025-05-02 15:00:00,27.5,46.9
2025-05-02 16:00:00,26.5,48.8
2025-05-02 17:00:00,25.2,52.6
2025-05-02 18:00:00,23.7,55.8
2025-05-02 19:00:00,22.5,58.5
2025-05-02 20:00:00,21.6,60.6
2025-05-02 21:00:00,20.9,62.1
2025-05-02 22:00:00,20.2,63.1
2025-05-02 23:00:00,19.6,63.8
